,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,162288,135288,5124,302700,1115,1115
5,BELL,1794,4787,158,6739,49,49
7,BOSQUE,5646,1285,101,7032,12,12
9,BURNET,13916,4115,257,18288,21,21
11,CORYELL,10698,4843,266,15807,9,9
13,ERATH,4640,1131,68,5839,22,22
15,HAMILTON,2570,459,26,3055,12,12
17,HAYS,14862,11039,529,26430,55,55
19,HILL,8870,2322,113,11305,23,23
21,JOHNSON,39588,11400,733,51721,37,37
23,LAMPASAS,5838,1494,105,7437,6,6
25,SOMERVELL,3007,577,44,3628,5,5
27,TARRANT,1889,844,40,2773,705,705
29,TRAVIS,48970,90992,2684,142646,159,159
