,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,50276,137325,5215,192816,1063,1063
5,BEXAR,19461,52549,1803,73813,753,753
7,CALDWELL,2051,3162,120,5333,32,32
9,COMAL,6381,4451,295,11127,29,29
11,GUADALUPE,5941,4197,260,10398,35,35
13,HAYS,8499,20717,942,30158,55,55
15,TRAVIS,7943,52249,1795,61987,159,159
