,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,130404,78394,349,209147,985,985
5,ANDERSON,11399,3142,20,14561,23,23
7,CHEROKEE,11596,3179,12,14787,26,26
9,DALLAS,35484,51923,129,87536,847,847
11,HENDERSON,21459,4883,23,26365,27,27
13,KAUFMAN,26703,11220,129,38052,30,30
15,VAN ZANDT,15245,2486,34,17765,18,18
17,WOOD,8518,1561,2,10081,14,14
