,County,REP,DEM,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,117178,21647,138825,967,967
5,ATASCOSA,7130,2378,9508,22,22
7,BEXAR,29761,8543,38304,753,753
9,HIDALGO,19467,2286,21753,75,75
11,LASALLE,165,14,179,7,7
13,MCMULLEN,167,47,214,5,5
15,STARR,9121,421,9542,11,11
17,WEBB,42684,4518,47202,69,69
19,WILSON,6858,3300,10158,17,17
21,ZAPATA,1825,140,1965,8,8
