,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,168090,34859,3144,206093,415,415
5,ARCHER,3249,310,44,3603,12,12
7,ARMSTRONG,808,57,22,887,9,9
9,BAYLOR,1083,131,16,1230,5,5
11,BRISCOE,558,57,7,622,6,6
13,CARSON,2209,196,34,2439,9,9
15,CHILDRESS,1539,200,15,1754,5,5
17,CLAY,3768,458,51,4277,17,17
19,COLLINGSWORTH,832,90,10,932,8,8
21,COOKE,11963,2171,177,14311,30,30
23,COTTLE,460,87,8,555,5,5
25,DALLAM,968,121,22,1111,7,7
27,DEAF SMITH,2789,919,45,3753,5,5
29,DICKENS,654,94,2,750,7,7
31,DONLEY,1133,113,27,1273,7,7
33,FLOYD,575,105,6,686,3,3
35,FOARD,324,101,6,431,5,5
37,GRAY,5294,527,88,5909,8,8
39,HALL,809,140,12,961,8,8
41,HANSFORD,1565,99,21,1685,9,9
43,HARDEMAN,1000,145,10,1155,5,5
45,HARTLEY,1483,123,14,1620,7,7
47,HEMPHILL,1225,124,11,1360,9,9
49,HUTCHINSON,5905,625,98,6628,9,9
51,JACK,2500,264,28,2792,7,7
53,KING,124,3,2,129,5,5
55,KNOX,870,204,8,1082,7,7
57,LIPSCOMB,953,95,17,1065,8,8
59,MONTAGUE,6471,810,89,7370,11,11
61,MOORE,3296,696,42,4034,8,8
63,MOTLEY,480,107,4,591,7,7
65,OCHILTREE,2178,184,34,2396,5,5
67,OLDHAM,749,58,4,811,8,8
69,POTTER,17387,6446,417,24250,17,17
71,RANDALL,38953,7474,796,47223,14,14
73,ROBERTS,442,16,4,462,5,5
75,SHERMAN,706,68,41,815,8,8
77,SWISHER,1491,372,16,1879,5,5
79,WHEELER,1674,115,27,1816,11,11
81,WICHITA,24746,8345,665,33756,62,62
83,WILBARGER,2758,686,0,3444,6,6
85,WISE,12119,1923,204,14246,26,26
