,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,176913,167020,7497,351430,1067,1067
5,BANDERA,7519,1896,155,9570,11,11
7,BEXAR,53751,51784,1995,107530,753,753
9,BLANCO,4156,1511,96,5763,7,7
11,COMAL,37375,11797,805,49977,29,29
13,GILLESPIE,9777,2476,163,12416,14,14
15,HAYS,9698,11236,662,21596,55,55
17,KENDALL,15173,4175,286,19634,12,12
19,KERR,16498,5183,288,21969,21,21
21,REAL,1279,252,17,1548,6,6
23,TRAVIS,21687,76710,3030,101427,159,159
