,County,REP,DEM,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,57157,85647,142804,307,307
5,BEE,4183,2860,7043,11,11
7,CAMERON,26572,50105,76677,110,110
9,DEWITT,4971,1096,6067,11,11
11,GOLIAD,2204,771,2975,10,10
13,GONZALES,1256,316,1572,16,16
15,HIDALGO,5896,15111,21007,75,75
17,JIM WELLS,4319,5302,9621,22,22
19,KENEDY,64,94,158,7,7
21,KLEBERG,3959,4359,8318,18,18
23,SAN PATRICIO,2414,2765,5179,9,9
25,WILLACY,1319,2868,4187,18,18
