,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,102903,101753,4402,209058,1149,1149
5,BEXAR,54957,50159,2247,107363,753,753
7,BREWSTER,1928,2039,92,4059,9,9
9,CRANE,787,234,24,1045,5,5
11,CROCKETT,903,333,22,1258,5,5
13,CULBERSON,282,461,27,770,6,6
15,DIMMIT,787,2020,56,2863,8,8
17,EDWARDS,600,144,11,755,5,5
19,EL PASO,3358,13925,438,17721,192,192
21,FRIO,1580,1974,81,3635,10,10
23,HUDSPETH,466,383,26,875,5,5
25,JEFF DAVIS,706,447,20,1173,6,6
27,KINNEY,820,337,32,1189,5,5
29,LASALLE,571,696,14,1281,7,7
31,LOVING,44,11,0,55,5,5
33,MAVERICK,2880,7413,298,10591,15,15
35,MEDINA,11670,4201,254,16125,8,8
37,PECOS,2141,1307,52,3500,10,10
39,PRESIDIO,431,1196,26,1653,2,2
41,REAGAN,674,150,5,829,5,5
43,REEVES,1010,1311,49,2370,11,11
45,SCHLEICHER,730,194,24,948,5,5
47,SUTTON,953,240,6,1199,5,5
49,TERRELL,275,170,14,459,5,5
51,UPTON,812,177,17,1006,7,7
53,UVALDE,4381,3310,185,7876,15,15
55,VAL VERDE,5458,5503,271,11232,18,18
57,WARD,2032,828,42,2902,9,9
59,WINKLER,1110,322,16,1448,6,6
61,ZAVALA,557,2268,53,2878,7,7
