,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,135779,116040,3724,255543,776,776
5,ELLIS,40838,17979,837,59654,50,50
7,NAVARRO,10355,3775,147,14277,21,21
9,TARRANT,84586,94286,2740,181612,705,705
