,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,185268,121584,5008,311860,1732,1732
5,DALLAS,83,77,1,161,847,847
7,DENTON,143892,99874,3973,247739,180,180
9,TARRANT,41293,21633,1034,63960,705,705
