,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,144393,135843,4955,285191,109,109
5,BELL,44912,33047,1076,79035,49,49
7,WILLIAMSON,99481,102796,3879,206156,60,60
