,Unnamed: 0,older proportion,proportion white,proportion male,born in TX,mean income,higher education,unemployment rate,prop_r_vote
0,District 01 Estimate,0.42181916276588094,0.7703407975733786,0.4889639463823713,0.773982734537794,66809,0.2977721392461027,0.06064008279365876,0.7230879988274296
1,District 02 Estimate,0.3527238370125592,0.6768363586451229,0.5009698780983656,0.6510256898580494,108618,0.4904394279943972,0.04223591286174167,0.5287155223562703
2,District 03 Estimate,0.3383118838252437,0.6851462453044055,0.490954484744988,0.5556495284270448,122057,0.6129758829046509,0.03638537859666305,0.5425627672228116
3,District 04 Estimate,0.4265034054678825,0.8126254704304673,0.4910798888633115,0.7256130912741765,74581,0.31526620335549604,0.04921901978635418,0.7569381535029975
4,District 05 Estimate,0.3734784532342271,0.7733410085254405,0.5024253520431301,0.7693597462489579,69802,0.2656188264512123,0.04710820371722163,0.6235040426111778
5,District 06 Estimate,0.3519624203286514,0.6502828760559717,0.4870025996063345,0.7014930959470971,84338,0.3774112935648911,0.03890850160721705,0.5313352351659016
6,District 07 Estimate,0.32072427594318226,0.6475456859992925,0.5007330507786086,0.6623003650155104,120629,0.5484201781775473,0.052475067214285374,0.4749985595877952
7,District 08 Estimate,0.3747232836776536,0.8266909709113397,0.5082142633798804,0.6866334683734144,99519,0.3769458044311556,0.05122171014932829,0.7346662657847264
8,District 09 Estimate,0.3165793739206693,0.38900365404953546,0.4831603412134991,0.7699705737427548,63807,0.3213936713381396,0.06735423808213678,0.8905229507444989
9,District 10 Estimate,0.346572950532798,0.7054029430636648,0.49661038379412503,0.6975910138649184,98947,0.4788188240517615,0.043841616918824516,0.5090476832472354
10,District 11 Estimate,0.4037070093467843,0.8428015963827263,0.4985219897638738,0.7893282390963113,75935,0.2786439327252065,0.04225060793247058,0.802031365457608
11,District 12 Estimate,0.3617134737479651,0.7822853111582528,0.4913018519597645,0.6853635473351289,87936,0.3986308088676079,0.04563365806453162,0.643019039830923
12,District 13 Estimate,0.40108398857913935,0.8431546784773224,0.5119302573302685,0.7444316010473921,67118,0.28205034627555203,0.043290375069271685,0.8156026648163693
13,District 14 Estimate,0.3863375046955956,0.7065870533350936,0.5075938099240422,0.7438972929045918,83452,0.32312752886826923,0.05331148745038772,0.5933506704100951
14,District 15 Estimate,0.3223419974919541,0.8334791901154629,0.4996028985873813,0.8520119296607068,59462,0.24707497264362904,0.0614887206133029,0.3870918653064206
15,District 16 Estimate,0.3448679059272322,0.7696421259078859,0.4910383305674692,0.7854225889648936,63139,0.3267913656503045,0.06316928905555341,0.2699881415663153
16,District 17 Estimate,0.3380138726137955,0.7522768599486499,0.4963237152444312,0.7683958749008389,69504,0.3848901949618743,0.04546771223438373,0.5685087407557835
17,District 18 Estimate,0.30289844612293343,0.5010007471245699,0.5008245856457131,0.7944043904723583,66180,0.2846245364954096,0.07116304866566059,0.20820967724401832
18,District 19 Estimate,0.3563268270639827,0.8347185107095867,0.5074121290870904,0.795768687439152,66327,0.2932175004308383,0.04920357125466529,0.7527097889112814
