,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,174749,40028,3106,217883,300,300
5,ANDREWS,3419,656,48,4123,5,5
7,BROWN,10550,1447,171,12168,20,20
9,CALLAHAN,4406,517,59,4982,5,5
11,COKE,1181,109,19,1309,6,6
13,COLEMAN,2762,326,30,3118,6,6
15,COMANCHE,3867,671,51,4589,13,13
17,CONCHO,829,132,10,971,9,9
19,DAWSON,2325,741,30,3096,10,10
21,EASTLAND,5383,747,59,6189,10,10
23,ECTOR,22001,7884,458,30343,27,27
25,ERATH,5469,1068,87,6624,22,22
27,GLASSCOCK,524,28,2,554,5,5
29,HOOD,20147,4123,324,24594,11,11
31,IRION,641,78,11,730,5,5
33,KIMBLE,1518,170,20,1708,8,8
35,LLANO,8006,1920,124,10050,10,10
37,MARTIN,1309,201,20,1530,7,7
39,MASON,1579,364,13,1956,5,5
41,MCCULLOCH,2293,353,26,2672,10,10
43,MENARD,651,122,6,779,7,7
45,MIDLAND,32117,7426,877,40420,21,21
47,MILLS,1760,226,16,2002,8,8
49,MITCHELL,1613,263,19,1895,7,7
51,PALO PINTO,7556,1659,93,9308,14,14
53,RUNNELS,2885,324,22,3231,11,11
55,SAN SABA,1823,220,6,2049,4,4
57,STEPHENS,1818,228,14,2060,9,9
59,STERLING,454,30,3,487,5,5
61,TOM GREEN,25863,7995,488,34346,20,20
