,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,167734,60957,3278,231969,253,253
5,ANGELINA,19219,6698,320,26237,43,43
7,GREGG,24698,10462,506,35666,22,22
9,HARRISON,16236,5924,299,22459,27,27
11,NACOGDOCHES,13692,7065,390,21147,26,26
13,PANOLA,7105,1559,63,8727,20,20
15,RUSK,12664,3374,192,16230,13,13
17,SABINE,3417,485,24,3926,9,9
19,SAN AUGUSTINE,2241,726,22,2989,12,12
21,SHELBY,5995,1467,56,7518,15,15
23,SMITH,53760,21468,1282,76510,35,35
25,UPSHUR,3198,754,60,4012,17,17
27,WOOD,5509,975,64,6548,14,14
