,County,REP,DEM,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,160783,60751,221534,1199,1199
5,CHAMBERS,12321,2783,15104,16,16
7,HARDIN,17463,2608,20071,20,20
9,HARRIS,61450,38292,99742,1013,1013
11,JASPER,9542,2207,11749,21,21
13,LIBERTY,16080,4282,20362,31,31
15,NEWTON,3654,996,4650,23,23
17,ORANGE,21365,4801,26166,35,35
19,POLK,12890,3744,16634,22,22
21,TYLER,6018,1038,7056,18,18
