,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,200367,67748,4617,272732,1221,1221
5,GRIMES,6561,1892,138,8591,15,15
7,HARRIS,18026,10413,475,28914,1013,1013
9,HOUSTON,5574,1670,67,7311,22,22
11,LEON,2801,371,21,3193,18,18
13,MADISON,3045,730,32,3807,7,7
15,MONTGOMERY,140786,44631,3357,188774,97,97
17,SAN JACINTO,7522,1637,123,9282,11,11
19,TRINITY,4207,898,43,5148,21,21
21,WALKER,11845,5506,361,17712,17,17
