,County,REP,DEM,LIB,IND,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,152368,137592,3260,3229,296449,1120,1120
5,BRAZORIA,33350,28217,724,765,63056,27,27
7,FORT BEND,103486,94033,2144,2108,201771,80,80
9,HARRIS,15532,15342,392,356,31622,1013,1013
