,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,137582,90937,3354,231873,103,103
5,BRAZORIA,33067,13808,704,47579,27,27
7,GALVESTON,67582,41025,1964,110571,36,36
9,JEFFERSON,36933,36104,686,73723,40,40
