,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,154807,142728,6576,304111,1304,1304
5,AUSTIN,8742,2044,174,10960,19,19
7,BASTROP,8445,6754,556,15755,22,22
9,COLORADO,3526,974,60,4560,12,12
11,FAYETTE,8173,2024,133,10330,27,27
13,HARRIS,71648,40761,2018,114427,1013,1013
15,LEE,2999,813,44,3856,9,9
17,TRAVIS,30820,80424,3146,114390,159,159
19,WALLER,10197,6030,239,16466,21,21
21,WASHINGTON,10257,2904,206,13367,22,22
